Id;Nome;Pacote;Quantidade;Valor;Colunas1
1;C10,C3,C4,C8,C22,C23;CP_Radial_D4.0mm_P1.50mm;6;D.N.M.;
5;C1,C6;CP_Radial_D4.0mm_P1.50mm;2;1n/25v;
6;C2,C7;CP_Radial_D4.0mm_P1.50mm;2;150pF/50v;
8;C9,C13,C15,C40,C41,C42;CP_Radial_D4.0mm_P1.50mm;6;100pF;
9;C19,C31;CP_Radial_D4.0mm_P1.50mm;2;4.7u/6.3v;
10;C21;CP_Radial_D4.0mm_P1.50mm;1;47pF;
11;C29,C39;CP_Radial_D4.0mm_P1.50mm;2;100n/50v;
12;C32;CP_Radial_D4.0mm_P1.50mm;1;C;
13;C36,C38;CP_Radial_D4.0mm_P1.50mm;2;100n/6.3v;
14;C37;CP_Radial_D4.0mm_P1.50mm;1;100n/4v;
47;D1,D6;D_A-405_P7.62mm_Horizontal;2;STTH112A;1200v/1A
48;D2,D7;D_A-405_P7.62mm_Horizontal;2;BAT20JFILM;23V/1A
49;D3,D8;D_A-405_P7.62mm_Horizontal;2;STPS2H100A;100v/2A
50;D5,D10;D_A-405_P7.62mm_Horizontal;2;D.N.M.;
51;D11;D_A-405_P7.62mm_Horizontal;1;D;
16;DL1,DL2,DL3,DL4;LED_D3.0mm_Clear;4;RED;
18;J6;PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical;1;Screw_Terminal_01x02;
19;J7,J2;PhoenixContact_MCV_1,5_3-G-5.08_1x03_P5.08mm_Vertical;2;Screw_Terminal_01x03;
20;JP1,JP2,JP5,JP6,JP7,JP11,JP12;PinHeader_1x02_P1.00mm_Vertical;7;OPEN;
21;JP3;PinHeader_1x02_P1.00mm_Vertical;1;CLOSED;
22;JP4;PinHeader_1x02_P1.00mm_Vertical;1;3.3v-VDD;
17;J3;PinSocket_1x09_P1.27mm_Vertical;1;Conn_01x09_Male;
26;R3,R5,R24,R26;Potentiometer_Bourns_3266Y_Vertical;4;20R;
24;R1,R7,R9,R22,R28,R30;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;6;1K;
25;R2,R15,R23,R32;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;4;0R;
27;R8,R17,R19,R20,R21,R29,R33,R35,R36,R37;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;10;0.2R/2W/1%;
28;R10,R31;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;2;D.N.M.;
29;R11,R40;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;2;750R;
30;R12,R13,R16,R38,R39,R41;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;6;100R;
31;R14,R42;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;2;750R;
32;R18,R34;R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;2;50K;
45;U1,U2;SOIC127P1032X265-24N;2;STGAP1AS;
15;D4,D9;SOT-23;2;BAT54S;40v/300mA
3;J4;TE_MATE-N-LOK_1-794067-x_2x07_P4.14mm_Vertical;1;Conn_01x14_Male;
4;J5;TE_MATE-N-LOK_1-794067-x_2x07_P4.14mm_Vertical;1;MASTER;
46;J1;TE_MATE-N-LOK_1-794067-x_2x07_P4.14mm_Vertical;1;SLAVE;
2;TP7;TestPoint_Keystone_5010-5014_Multipurpose;1;CLAMP_2;
33;TP1;TestPoint_Keystone_5010-5014_Multipurpose;1;GND;
34;TP2;TestPoint_Keystone_5010-5014_Multipurpose;1;ASC_1;
35;TP3;TestPoint_Keystone_5010-5014_Multipurpose;1;CLAMP_1;
36;TP4;TestPoint_Keystone_5010-5014_Multipurpose;1;SNS_1;
37;TP5;TestPoint_Keystone_5010-5014_Multipurpose;1;DESAT_1;
38;TP6;TestPoint_Keystone_5010-5014_Multipurpose;1;ASC_2;
39;TP8;TestPoint_Keystone_5010-5014_Multipurpose;1;SNS_2;
40;TP9;TestPoint_Keystone_5010-5014_Multipurpose;1;DESAT_2;
41;TP10;TestPoint_Keystone_5010-5014_Multipurpose;1;GNDi_1;
42;TP11;TestPoint_Keystone_5010-5014_Multipurpose;1;GNDi_2;
43;TP13,TP17;TestPoint_Keystone_5010-5014_Multipurpose;2;VH;
44;TP19;TestPoint_Keystone_5010-5014_Multipurpose;1;VDD;
23;Q1,Q2,Q3,Q4;TO-247-3_Vertical;4;STGW40H120DF2;
